bug_id,long_description,severity_category
WWW.MOZILLA.ORG-281719,"From mozilla.org's 410 Gone error page:

We are sorry the file you requested is no longer here and there is no
suitable replacement page to redirect you to.

The issues:

The quoted sentence ends with a preposition which is incorrect grammar.  I also
don't know why we refer to both file and page.  There's a congruency between
the two clauses that suggests that we use either page or file but not both.
 Additionally I believe the sentence suffers from faulty parallel syntax. 
There's nothing that sufficiently connects all three clauses such that they
belong in the same sentence.  (The wording in particular suggests that they
should be at least somewhat separated.)

A version of the error page with these issues corrected would be:

We're sorry the page you requested is no longer here and no replacement page
exists.",trivial
CORE-89214,"From Bugzilla Helper:
User-Agent: Mozilla/5.0 (X11 U Linux i686 en-US rv:0.9.2) Gecko/20010628
BuildID:    2001062823

There is a trailing URL Bar caret when the Search SideBar tab is opened. Trying
to type shows that the URL Bar does not have focus. The URL Bar caret should be
removed when the URL Bar does not have focus.

You may have to perform the following steps a number of times for the bug to be
visible since the caret is blinking in the URL Bar although if your timing was
good you could probably reproduce every time.

 

Reproducible: Always
Steps to Reproduce:
1. Show the SideBar.
2. Hide the Search SideBar tab.
3. Click in the URL Bar and notice a blinking caret.
4. Show the Search SideBar tab using Tabs->Search
5. Try typing.
6. Click in the URL Bar at a position different from the position in step 3.

Actual Results:  The caret is visible while the URL Bar does not have focus
(shown by typing in step 5). This superfluous caret will remain while a second
one appears (after step 6).

Expected Results:  The URL Bar caret should not be visible when the URL Bar does
not have focus. The URL Bar should not have caret trails.",minor
CORE-385716,"i was trying to use it from js and accidentally passed null.

firefox!inLayoutUtils::GetWindowFor(class nsIDOMNode * aNode = 0x00000000)+0x14 [e:\builds\tinderbox\fx-trunk\winnt_5.2_depend\mozilla\layout\inspector\src\inlayoututils.cpp @ 60]
firefox!inFlasher::DrawElementOutline(class nsIDOMElement * aElement = 0x00000000)+0xf [e:\builds\tinderbox\fx-trunk\winnt_5.2_depend\mozilla\layout\inspector\src\inflasher.cpp @ 152]
xpcom_core!NS_InvokeByIndex_P(class nsISupports * that = 0x01908a78 unsigned int methodIndex = 9 unsigned int paramCount = 1 struct nsXPTCVariant * params = 0x0012d340)+0x27",critical
CORE-385569,"Created attachment 269494
testcase

Mozilla/5.0 (Macintosh U Intel Mac OS X en-US rv:1.9a6pre) Gecko/20070622 Minefield/3.0a6pre

In the testcase you get the fi ligature form but there are a few blank pixels between the f part and the i part.",minor
BUGZILLA-574940,Trying to search on percentage_complete on PostgreSQL throws a Division By Zero error from the database.,minor
CORE-154191,"Using the 6/21 NS verification build I just got into a state where closing the
last window would not trigger the normal app close behavior in this case a
QuickLaunch 'exit'/restart.  After closing the last window there was no
indication of any open window not even in the Windows taskbar yet the QL icon
remained there was no disk activity associated with QL relaunch and on
subsequent launch of mail I was able to use my account without authenticating. I
did notice that there were two blank entries in the Window menu list but
selecting them did not change the active window nor was there any sign of them
on the screen.  I was able to get a normal exit using File->Exit.

I don't know how to reproduce these invisible windows but it seems that they
should not prevent normal close behavior since users have no knowledge of them
nor any way to close them and expect that their mail account is not left open
for anyone to use after the last visible window is closed.",major
MOZILLA_LOCALIZATIONS-378653,"Copyright year in eu Sunbird 0.5pre build is wrong should be 2007
",trivial
BUGZILLA-300390,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.6) Gecko/20050524 Firefox/1.0 (Ubuntu package 1.0.2 MFSA2005-44)
Build Identifier: Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.6) Gecko/20050524 Firefox/1.0 (Ubuntu package 1.0.2 MFSA2005-44)

When a new user login (not in the database yet) i get this message:

Undefined subroutine &Bugzilla::User::bz_crypt called at Bugzilla/User.pm line
1141  line 283.

This does not happend if the user is already in the database (has already logon
once before).

I change this line in User.pm

sub insert_new_user ($$$$) {
    my ($username $realname $password $disabledtext) = (@_)
    my $dbh = Bugzilla->dbh

    $disabledtext ||= ''

    # If not specified generate a new random password for the user.
    $password ||= 
    #my $cryptpassword = bz_crypt($password)  <===== OLD
    my $cryptpassword = password            <===== NEW

And everything works ok.

Be really carefull because i dont know if this is ok ...

Ignacio


Reproducible: Always

Steps to Reproduce:
1. Configure LDAP Auth
2. Login with a new user (never logon before)


Actual Results:  
Get the error message",critical
SEAMONKEY-241058,"crash when visiting hixie's blog (http://ln.hixie.ch/)

this is with the trunk I have a stack.

look like we might be de-references a null nsCOMPtr.",critical
TOOLKIT-388507,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.1.4) Gecko/20070515 Firefox/2.0.0.4
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.1.4) Gecko/20070515 Firefox/2.0.0.4

When loading this site it with JS enabled it repeatedly caused FF to crash out w/o warning.. only with JS disabled would it load... and then I nabbed the source and confirmed there was an attempt to infect the visitor with the trojan in question.  The fact it crashes FF completely is definately a bug in JS coding.. and on a quick glance of the source it looks similar to a buffer overflow attempt.


Reproducible: Always

Steps to Reproduce:
1. load site in question

Actual Results:  
FF crashes out w/o any warning.. as if it was shutdown.


Expected Results:  
Not allowed a crash to be induced via JS coding.

I have uploaded a copy of the site's source code here in case the site goes down and so anyone working on fixing this can easily have access to it w/o having to load the site in question:

http://sharebee.com/5ed692e4

I have also marked this as confidential so no one can access this before a fix can be found.. (better safe than sorry I say.)

Theme in use here is Classic Compact 2.0.2 and this bug happens with the default theme as well.  I can provide a complete listing of installed plugins as well if needed.  If more info is needed at all pls let me know.",critical
CORE-110335,"For example:

nsString str(
nsString s1(
nsString s2(QB

str.ReplaceSubstring(s1 s2)

This will go on until it runs out of memory.",major
FIREFOX-322610,"Otherwise they all have to reimplement the whole process of running through all the nodes in the page for themselves.

I've been meaning to post this patch for quite a while.",minor
MOZILLA.ORG_GRAVEYARD-375049,"I've patched the mozilla-europe site and CMS so they'll run on our systems.  Right now they're setup on dm-cms01 and they're ready to be pushed to a production area.  

I've written instructions for doing this here:

http://people.mozilla.org/~clouserw/docs/moz-eu/setup-moz-eu.html

They're kind of complicated/frustrating so I'd be happy to help if I can.

Thanks.",major
CORE-285066,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.7) Gecko/20040803 Firefox/0.9.3
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.7) Gecko/20040803 Firefox/0.9.3

If a number of stylesheets are specified as linked files in the header of an
HTML file and one does not have a 'media' attribute specified then the browser
will crash when attempting to print the page.

eg:



... will crash but this:




... will not crash.

I had a look through the HTML 4.01 spec and it does not seem that the 'media'
attribute is mandatory. Therefore the browser should be able to cope with this
situation.



Reproducible: Always

Steps to Reproduce:

(see details above)
Actual Results:  
Browser crashed with and Application Error

Expected Results:  
Printed the page with the 'print' stylesheet.",critical
CORE-505771,there's an extra free in an error case :(,critical
CORE-411256,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.1.11) Gecko/20071127 Firefox/2.0.0.11
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.1.11) Gecko/20071127 Firefox/2.0.0.11

While building the trunk on AIX getting below linker error for mozilla/obj-opt/xpcom/tools/registry

ld: 0711-317 ERROR: Undefined symbol: .PR_dtoa
ld: 0711-317 ERROR: Undefined symbol: .PR_snprintf
ld: 0711-317 ERROR: Undefined symbol: .PR_Assert
ld: 0711-317 ERROR: Undefined symbol: .PR_Free




Reproducible: Always

Steps to Reproduce:
1.Build Mozilla Firefox Trunk build on AIX with Gnome 2.12 RPMS of 64 bit
version.
2.
3.
Actual Results:  
Build fails with the above error.

Expected Results:  
No build failure",major
FIREFOX-337625,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.9a1) Gecko/20060511 Minefield/3.0a1
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.9a1) Gecko/20060511 Minefield/3.0a1

If an OpenSearch (as an OpenSearch description document) plugin includes an Url tag which isn't type=text/html then it won't install in the search bar. This happens even when there is an Url tag with type=text/html. 

Reproducible: Always

Steps to Reproduce:
1. Goto http://www.edazzle.net/os/
2. Click on the drop down list of search plugins
3. Click on one of tthe Add Amazon entries

Actual Results:  
Download error

Expected Results:  
The search plugin to be added to the search bar drop down list of installed plugins

Installs plugins fine when Url tag attribute type is set to text/html and is the only Url tag in the file.",major
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-403986,"please publish these changes


Envoi          it/products/thunderbird/2.0.0.9/releasenotes/index.html
Envoi          pt-PT/products/thunderbird/2.0.0.9/releasenotes/index.html
Envoi          ru/products/thunderbird/2.0.0.9/releasenotes/index.html
Transmission des données ...
Révision 8057 propagée.

Thanks",major
THUNDERBIRD-297006,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.7.5) Gecko/20041107 Firefox/1.0
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.7.5) Gecko/20041107 Firefox/1.0

On the Search Messages dialog there are no criteria rows displayed and there
is no way to get them to display.  Therefore I can't do any searchess.  I've
tried unilstalling Thunderbird and re-installing it but it doesn't fix the
problem. My guess is that somehow my user-specific configuration files have
become corrupted.

When I originally installed the software the Search Messages worked. So I must
have done something that broke it. But I don't know what.

Reproducible: Always

Steps to Reproduce:
I don't know. If you e-mail me I supposed I could send you any configuration
files you think might be significant.",minor
CALENDAR-417585,"Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.1.13pre) Gecko/2008021321 Calendar/0.8pre

Steps to Reproduce:
1. Enable the unifinder using the Find Event toolbar button
2. Grab the lower border and drag it upwards until the unifinder collapses
3. Disable and enable the unifinder using the Find Event toolbar button

Actual results:
Only the small border that indicates the collapsed unifinder is hidden/show when using the toolbar button. The unifinder itself stays collapsed and is therefore not visible.

Expected results:
To avoid user confusion I suggest that the Find Event toolbar button should also restore the unifinder from collapsed to normal state.",minor
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-482399,"Please add the following cron jobs to dm-stats01 for AMO:
  
103050 * * * * root cd /data/php5/www/addons.mozilla.org-remora/bin  php -f maintenance.php addons_collections_total
103050 * * * * root cd /data/php5/www/addons.mozilla.org-remora/bin  php -f maintenance.php collections_total",trivial
CORE-109831,"
         

The following code creates an event where the target ends up being the
 when we really want it to be the individual  element that
makes up that particular color cell.

         <![CDATA[
           if (this.isColorCell(aCell)) {
             this.resetHover()
             aCell.setAttribute(hover true)
             this.mHoverCell = aCell
+            var event = document.createEvent('Events')
+            event.initEvent('DOMMenuItemActive' false true)
+            aCell.dispatchEvent(event)
           }
         ]]>
       

The screwed up sequence:
nsEventStateManager::DispatchNewEvent() calls
target->HandleDOMEvent(mPresContext innerEvent &aEvent NS_EVENT_FLAG_INIT

nsXULElement::HandleDOMEvent() subsequently runs the following lines which
clear the old event and it's target:
    nsIDOMEvent* domEvent = nsnull
    if (NS_EVENT_FLAG_INIT & aFlags) {
        aDOMEvent = 

Eventually as the event bubbles up it is retargeted but never to the correct
original target.

If we call HandleDOMEvent without the NS_EVENT_FLAG_INIT everything works - but
I'm not sure what side effects that has with freeing memory.
Why is the target set and then subsequently cleared and not reset?",blocker
SEAMONKEY-220103,"Create @mozilla.org/download1 in xpcshell discover interfaces using
instanceof or queryinterface. then interogate properties.
many properties will crash since mInner is null",critical
MOZILLA.ORG_GRAVEYARD-420866,"my entry on planet
Firefox 3 with Profile-Guided Optimization = Speeding ticket
dated
April 02 2008

is clearly wrong

I've corrected my feed but the entry is still shown at planet",critical
SEAMONKEY-162127,"From Bugzilla Helper:
User-Agent: Mozilla/5.0 (Macintosh U PPC Mac OS X en-US rv:1.1b) Gecko/20020730
BuildID:    2002073008

I just started noticing that Mozilla's startup time has doubled since previous
night builds in July or before. Might have to due to the fact that page layout
loading time also increased greatly along with other things in Fizzilla.

Reproducible: Always
Steps to Reproduce:
1.Start Mozilla in OSX 10.1.5
2.Time it
3.Compare to earlier build in early July or before.

Actual Results:  Startup time has doubled.

Expected Results:  Startup time to be less or at least returned to previous
speed as in earlier july builds or before that.

Related? Bug 161481  Bug 161766",major
CORE-294922,"Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8b2) Gecko/20050520
Firefox/1.0+ ID:2005052007

1. Open tab

Title of tab shows (untitled) or loading...

Regression from bug 281988",blocker
FIREFOX-309481,"It seems some files were not tagged with FIREFOX_1_0_7_RELEASE for example see
http://bonsai.mozilla.org/cvsgraph.cgi?file=mozilla/profile/Makefile.in Version
1.12. All other Firefox 1.0.x and Mozilla 1.7.x releases are listed there but
FF 1.0.7 is not. This should be fixed so people can build FF 1.0.7 from CVS.",critical
CORE-449291,"[Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.9.1a2pre) Gecko/2008080519 SeaMonkey/2.0a1pre] (home optim default) (W2Ksp4)

{{
.../xpcom/tests/TestEncoding.cpp(61) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(61) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(61) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(61) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(105) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(105) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(105) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(105) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(105) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(105) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(148) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(148) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(148) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(191) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(191) : warning C4309: 'initializing' : truncation of constant value
.../xpcom/tests/TestEncoding.cpp(191) : warning C4309: 'initializing' : truncation of constant value
}}

Clean up the output.",minor
TOOLKIT-427364,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 it rv:1.8.1.13) Gecko/20080311 Firefox/2.0.0.13
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 it rv:1.8.1.13) Gecko/20080311 Firefox/2.0.0.13

if you report google.com as pishing and then open a window with a frame containing google.com. the form page not show the pishing alert.

Reproducible: Always

Steps to Reproduce:
create a new page containing a pishing side in a form.



showld be confidential because the hackers can make pages that contains frames unsigned as pishing",major
INFRASTRUCTURE_&_OPERATIONS-448601,"WINNT 5.2 mozilla-central qm-win2k3-03 dep unit test went red a couple of cycles ago. The log makes it seem like a machine issue.

Perhaps related WINNT 5.2 mozilla-central build is off and on red as of a few cycles ago. (I can file a separate bug for that if needed.)",blocker
THUNDERBIRD-208945,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.4b) Gecko/20030608 Mozilla Firebird/0.6
Build Identifier: Mozilla Thunderbird 0.1a (20030603-trunk)

Among my news tidbits is the INA service of IHT.COM.  The headlines are all
anchors pointing to a location thus:
mailbox:///G|/HOME/superbiskit/_Mozilla/Superbiskit/********.slt/Mail/cox.net/Inbox?number=21214144#a_47464

Clicking on one should move the view to the cited fragment.

It does not.

Reproducible: Always

Steps to Reproduce:
1. Find or create an HTML-Mail document using internal fragment identifiers
 ( #fragment ).  Mail it to yourself.
2. Click on the referencing anchor.


Actual Results:  
Nothing

Expected Results:  
Jumped (moved focus) to the anchor '...'",major
MOZILLA.ORG_GRAVEYARD-462932,"Tracking to move Personas out of Labs and into production.  Need to figure out app requirements and hardware requirements and see if it can live on existing hardware.

oremj == IT lead",minor
CAMINO_GRAVEYARD-182570,"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X en-US rv:1.0.1) Gecko/20021104 Chimera/0.6
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X en-US rv:1.0.1) Gecko/20021104 Chimera/0.6

When a the URL bar is empty and text is pasted into it it is displayed in the
wrong typeface.  (Helvetica?)  The font is then set to whichever Lucida variant
is appropriate when Return is pressed or something else resets the URL bar.

This only happens when pasting into an empty location bar.

Reproducible: Always

Steps to Reproduce:
Copy some text to the clipboard
Click in URL bar
Press Command-A (Select All)
Press Delete
Press Command-V (Paste)
[look at text]
Press Return
Actual Results:  
The freshly pasted text is displayed in the wrong typeface (Helvetica?) and then
switched to the proper typeface when Return was pressed.

Expected Results:  
The format of the location bar text should not change.  It should always be
displayed using the proper typeface.

0.6+-2002112805/10.2.2
0.6-2002110415/10.2.2",trivial
CLOUD_SERVICES-450475,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.9.0.1) Gecko/2008072820 Firefox/3.0.1
Build Identifier: 

Information about how data is handled on the Mozilla servers are not answered for and should be accounted fast. 
People could start thinking the data they upload in the cloud is licensed with GPL or MPL for Mozilla licenses. 

Copied from chrome://weave/content/ToS.xhtml
4.	Privacy and Your Personal Information. For information about Mozilla's data protection practices please read Mozilla Weave Privacy Policy at http://labs.mozilla.com/projects/weave/privacy.html. This policy explains in detail how Mozilla treats your personal information and protects your privacy when you use the Weave Services.

Reproducible: Always

Steps to Reproduce:
1. Open the link
2. See the data privacy is missing.",major
CORE-392335,"Crash [@ nsFrame::Destroy] when zooming text.

STEPS TO REPRODUCE
1. load URL (or any of the other URLs listed in the crash reports below)
2. press CTRL and use the mouse wheel to zoom the text up/down
3. every now and then type CTRL+R to cause a Reload (10 sec interval perhaps)
   continue zooming while the page loads

ACTUAL RESULT
I was able to reproduce it in Firefox trunk on Linux twice within
10 minutes of trying.

Crash reports with SetTextZoom on the stack in the past 3 months:
http://crash-stats.mozilla.com/?do_query=1&query_search=stack&query_type=contains&query=SetTextZoom&date=&range_value=3&range_unit=months

A typical stack looks like:

nsFrame::Destroy()
nsContainerFrame::Destroy()
nsFrameList::DestroyFrames()
nsContainerFrame::Destroy()
nsBlockFrame::DoRemoveFrame(nsIFrame* int int)
nsBlockFrame::RemoveFrame(nsIAtom* nsIFrame*)
nsFrameManager::RemoveFrame(nsIFrame* nsIAtom* nsIFrame*)
nsCSSFrameConstructor::ContentRemoved(nsIContent* nsIContent* int int)
nsCSSFrameConstructor::RecreateFramesForContent(nsIContent*)
nsCSSFrameConstructor::ProcessRestyledFrames(nsStyleChangeList&)
nsPresContext::ClearStyleDataAndReflow()
DocumentViewerImpl::SetTextZoom(float)",critical
CORE-172700,The following patch supports characters outside of the BMP.,critical
SEAMONKEY-193614,"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.3b) Gecko/20030212
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.3b) Gecko/20030212

The February 16th build does not launch.  The icon bounces up and down for a few
seconds and then the application quits.

Reproducible: Always

Steps to Reproduce:
1.Launch Mozilla application
2.
3.

Actual Results:  
The mozilla icon bounces up and down in the dock for a few minutes and then quits.

Expected Results:  
Mozilla should have opened with a splash screen and then opened a new window.

I am running Mac OS 10.2.4.  This is a regression since the build on the 14th or
15th.",blocker
BUGZILLA-361114, ,blocker
SEAMONKEY-251950,"CTRL+W the close window shortcut key doesn't close the Firefox Help window.
 This is contrary to the behaviour with the Mozilla suite's help window (as of
the 2004-07-05 build at least) where CTRL+W closes it.",minor
NSS-366390,"Some of the functions in fipstest.c are named the opposite of what they do.  
e.g. functions named hex_from_ actually convert values FROM 
hex ASCII to binary and functions named _from_hex convert 
FROM binary TO hex ASCII.  

I propose to rename these functions as follows:
-hex_from_2char(const char *c2 unsigned char *byteval)
+hex_to_byteval(const char *c2 unsigned char *byteval)

-char2_from_hex(unsigned char byteval char *c2 char a)
+byteval_to_hex(unsigned char byteval char *c2 char a)",minor
CORE-448903,"Created attachment 332091
testcase

Loading the testcase makes nsContextBoxBlur::BoxBlurVertical dereference a random address which usually causes a crash.",critical
BUGZILLA-428511,"Created attachment 315104
Patch

Status and resolution values in dependency trees are not localizable. The attached patch fixes this.",minor
DIRECTORY-28001,"I create an instance of LDAPUrl using the constructor LDAPUrl (String url).
My LDAP URL LDAP://127.0.0.1/?sn?sub?(|(cn=a*)) has attributes but no DN. 
During the parsing of the URL string the attributes are ignored.
In Version 1.4 of LDAPUrl.java in Line 152 readNextConstruct(urlParser)
is called. In readNextConstruct() are two calls of StringTokenizer.nextToken().
This is correct if you have a DN. In this case the first call
returns the '?' and the next returns the attributes. But if you have
no DN (DN.equals(?) in Line 144) the first call returns the attributes
and the second retuns the '?' after the attributes.",critical
ADDONS.MOZILLA.ORG_GRAVEYARD-320082,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8) Gecko/20051111 Firefox/1.5
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8) Gecko/20051111 Firefox/1.5

I discovered this fiddling around with some of the form filling extensions. The form field length is reported as unknown by the extension. I typed in some nonsence then copy / pasted for about a minute. No end of field. I'm guessing it's 65000 in the database but the webpage itself needs a sanity check. Personally I can't see more than 1000 ever being necessary perhaps 500. Anyway currently a user could hose the page loading by submitting an insanely long comment. Note I didn't actually submit a comment like that so if there is a sanity check post form submit I apologize for the bug report in the first place.

Reproducible: Always

Steps to Reproduce:
1. Click any extension 'add your own comment' link
2. Fill in the form with trash over and over
3. Click Post if you want to REALLY annoy the moderators. )

Actual Results:  
Not tested but hung page load or rediculously long page

Expected Results:  
Decently long extension page

Most likely just needs a form field length on the actual page coding. I'm marking this security as I've seen other bugs marked severe for such form length issues.",critical
CORE_GRAVEYARD-269632, ,minor
BUGZILLA-398739,"When you take a bug while adding a new attachment attachment.cgi runs:

      my @newvalues = ($user->id ASSIGNED  1 $user->login)
      $dbh->do('UPDATE bugs SET delta_ts = ? ' .
               join(' ' map($fields[$_] = ? (0..3))) . ' WHERE bug_id = ?'
               undef ($timestamp map($newvalues[$_] (0..3))  $bugid))

This means the bug status is set to ASSIGNED. But if you renamed or deleted this bug status (from editvalues.cgi) ASSIGNED isn't valid and process_bug.cgi will reject all subsequent changes made against the bug as no bug status transition between the unknown ASSIGNED status and any other status is defined in the workflow.

The reason to mark this bug as a blocker is that the first bug status you would rename is ASSIGNED (to INPROGRESS ACCEPTED or anything else based on previous bug reports on b.m.o) so the probability to see such problems is very high.",critical
FIREFOX-339361,This was some ancient code landed by mconnor in a rush and it needs tidying up.  See https://bugzilla.mozilla.org/show_bug.cgi?id=338061#c33 for starters.,trivial
CORE-136260,"!!!Object wrapped by XPConnect has members whose names shadow each other!!!
   XPCNativeSet @ 0x0x824b940 for the class:
   classname: ChromeWindow
   contractid: 
   claims to implement interfaces:
      nsISupports
      nsIDOMWindow
      nsIDOMJSWindow
      nsIDOMWindowInternal
      nsIDOMChromeWindow
      nsIDOMEventTarget
      nsIDOMViewCSS
      nsIDOMAbstractView
nsIDOMWindow::document shadows nsIDOMViewCSS::document
nsIDOMWindow::document shadows nsIDOMAbstractView::document
nsIDOMJSWindow::prompt shadows nsIDOMWindowInternal::prompt
nsIDOMWindowInternal::document shadows nsIDOMViewCSS::document
nsIDOMWindowInternal::document shadows nsIDOMAbstractView::document
XPC - Begin deferred Release of 37 nsISupports pointers
XPC - End deferred Releases

This debug output was generated by setting DEBUG_xpc_hacker in
mozilla/js/src/xpconnect/src/xpcprivate.h

Steps:
add flag to xpconnect rebuild xpconnect
run mozilla navigator",trivial
RELEASE_ENGINEERING-505215,"The x86_64 Linux tinderboxes are missing the wireless-tools-devel package which means they can't build the Necko Wifi code used for geolocation.

Prior to bug 503597 this caused the feature to be silently disabled (thus silently disabling one of our major new platform features).  With bug 503597 this (as desired) results in an error so that we don't accidentally disable major platform features.

What needs to be fixed is (thanks to bug 505203 / bug 505204) equivalent to Version 16 in https://wiki.mozilla.org/ReferencePlatforms/Linux-CentOS-5.0#Version_16

I suppose I'll have to temporarily back out bug 503597 until this is fixed.",major
